p_idx,sim_id,il_type,comp_idx,temp,efield,snap_ns,D_cumul
471,94,TFSI,4,350,0,60,998.8583333333333
472,94,TFSI,4,350,0,70,938.9357142857143
473,94,TFSI,4,350,0,80,989.23125
474,94,TFSI,4,350,0,90,1200.2
475,95,TFSI,4,350,1,100,3397.5333333333333
476,95,TFSI,4,350,1,60,3536.472222222222
477,95,TFSI,4,350,1,70,3161.2380952380954
478,95,TFSI,4,350,1,80,3455.8541666666665
479,95,TFSI,4,350,1,90,3353.685185185185
480,96,TFSI,4,400,0,100,1383.1333333333334
481,96,TFSI,4,400,0,60,1428.0666666666666
482,96,TFSI,4,400,0,70,1397.047619047619
483,96,TFSI,4,400,0,80,1415.6833333333334
484,96,TFSI,4,400,0,90,1579.138888888889
485,97,TFSI,4,400,1,100,1573.7433333333333
486,97,TFSI,4,400,1,60,2561.9972222222223
487,97,TFSI,4,400,1,70,2129.9690476190476
488,97,TFSI,4,400,1,80,1723.0333333333333
489,97,TFSI,4,400,1,90,1427.312962962963
490,98,TFSI,4,450,0,100,862.5366666666666
491,98,TFSI,4,450,0,60,1488.338888888889
492,98,TFSI,4,450,0,70,1529.4857142857143
493,98,TFSI,4,450,0,80,1176.5479166666667
494,98,TFSI,4,450,0,90,962.8814814814815
495,99,TFSI,4,450,1,100,724.6616666666666
496,99,TFSI,4,450,1,60,426.4916666666667
497,99,TFSI,4,450,1,70,313.7690476190476
498,99,TFSI,4,450,1,80,381.2875
499,99,TFSI,4,450,1,90,655.8703703703703
